не;$;685;0.004224952507833
на;$;1781;0.010984876520366
он;$;242;0.001492610958972
то;$;383;0.002362272716059
но;$;2189;0.013501344583426
же;$;160;0.000986850220808
вы;$;273;0.001683813189253
по;$;58;0.000357733205043
да;$;383;0.002362272716059
за;$;126;0.000777144548886
бы;$;92;0.000567438876964
ты;$;542;0.003342955122986
от;$;158;0.000974514593048
из;$;37;0.000228209113562
ее;$;1221;0.007530900747539
до;$;100;0.000616781388005
ну;$;768;0.004736881059877
ни;$;694;0.004280462832754
ли;$;3708;0.022870253867219
уж;$;35;0.000215873485802
во;$;672;0.004144770927392
их;$;1377;0.008493079712827
мы;$;176;0.001085535242889
со;$;58;0.000357733205043
ей;$;1828;0.011274763772728
об;$;56;0.000345397577283
ко;$;514;0.003170256334345
ах;$;1341;0.008271038413145
им;$;1531;0.009442923050354
ка;$;2264;0.013963930624429
та;$;776;0.004786223570918
пр;$;30;0.000185034416401
те;$;2212;0.013643204302667
чт;$;10;0.000061678138800
ту;$;359;0.002214245182937
го;$;3681;0.022703722892458
де;$;301;0.001856511977895
вс;$;31;0.000191202230281
эт;$;5;0.000030839069400
мо;$;156;0.000962178965288
ра;$;627;0.003867219302790
ст;$;478;0.002948215034663
ха;$;160;0.000986850220808
хе;$;65;0.000400907902203
ум;$;55;0.000339229763403
се;$;160;0.000986850220808
эх;$;1;0.000006167813880
гм;$;2;0.000012335627760
ме;$;181;0.001116374312289
св;$;8;0.000049342511040
ль;$;567;0.003497150469987
ег;$;116;0.000715466410086
пе;$;80;0.000493425110404
ва;$;1167;0.007197838798016
са;$;229;0.001412429378531
ве;$;435;0.002682999037821
ох;$;36;0.000222041299682
бо;$;56;0.000345397577283
хо;$;51;0.000314558507882
че;$;206;0.001270569659290
сл;$;45;0.000277551624602
од;$;129;0.000795647990526
бе;$;88;0.000542767621444
мн;$;30;0.000185034416401
ай;$;405;0.002497964621420
ею;$;431;0.002658327782301
ос;$;258;0.001591295981052
ск;$;211;0.001301408728690
ви;$;178;0.001097870870649
ми;$;4739;0.029229269977549
ма;$;300;0.001850344164015
сп;$;24;0.000148027533121
ба;$;104;0.000641452643525
ес;$;203;0.001252066217650
бу;$;76;0.000468753854884
гл;$;32;0.000197370044162
що;$;1;0.000006167813880
эй;$;2;0.000012335627760
